id,woj,public,size,nace,nace_division,vacancies
257258,14,1,Large,O,84,6
13451,10,0,Large,C,22,0
25991,14,1,Large,Q,88,0
22396,14,0,Large,N,78,0
245897,14,0,Small,M,69,1
28935,14,0,Large,G,46,0
202407,14,0,Medium,S,96,0
26351,14,0,Large,S,96,10
27718,14,0,Large,G,47,8
28936,14,0,Large,F,43,0
213758,14,0,Small,E,37,0
26816,14,0,Large,H,52,30
27719,14,0,Large,K,64,0
27720,14,0,Large,G,47,0
207502,14,1,Small,O,84,0
27723,14,0,Large,I,55,5
252553,14,0,Medium,G,46,0
138975,14,0,Large,M,69,1
186224,14,0,Large,C,10,29
22362,14,0,Large,C,22,2
250441,14,0,Small,S,96,0
24690,14,0,Large,J,58,0
255997,14,1,Medium,O,84,0
24170,14,1,Small,O,84,1
140214,14,0,Medium,I,56,0
80973,14,0,Large,K,66,0
204262,14,0,Large,I,56,0
63189,14,0,Large,J,63,90
24453,14,1,Medium,O,84,0
139587,14,0,Small,J,62,0
26352,14,0,Large,G,45,2
251874,14,0,Medium,S,96,0
26353,14,0,Large,M,71,0
242945,14,0,Small,C,10,0
243451,14,0,Small,Q,88,0
254058,14,0,Medium,F,42,0
137972,14,0,Medium,B,08,0
252530,14,0,Medium,F,42,0
15664,10,0,Large,K,64,10
244553,14,0,Small,A,01,0
183993,14,0,Small,M,73,0
257862,14,0,Medium,G,46,0
256729,14,0,Medium,P,85,0
93618,30,0,Large,J,61,0
2194,02,0,Large,G,45,0
259726,14,0,Small,M,69,0
208895,14,0,Large,M,72,5
171162,14,0,Large,G,45,8
195995,14,0,Large,F,43,0
257949,14,0,Small,H,49,0
246635,14,0,Small,M,71,0
212930,14,0,Small,L,68,0
204778,14,0,Small,J,62,0
112772,14,0,Large,M,73,0
253925,14,1,Medium,P,85,0
243390,14,1,Medium,P,85,0
26359,14,0,Large,M,72,18
27729,14,1,Large,P,85,0
18767,12,0,Large,C,17,0
159192,14,0,Small,L,68,0
25855,14,0,Large,C,10,0
51135,28,0,Large,C,10,0
27732,14,1,Large,R,93,0
63283,14,0,Large,G,47,0
247900,14,0,Small,M,73,0
250307,14,0,Small,M,73,0
258648,14,0,Small,C,18,0
255229,14,1,Medium,P,85,0
252448,32,0,Medium,N,79,0
185946,32,0,Medium,N,79,0
65555,30,0,Large,S,95,0
259369,14,0,Small,M,69,0
26362,04,0,Large,J,62,89
113533,14,0,Large,Q,87,0
4369,04,0,Large,Q,86,0
32412,18,0,Large,Q,86,0
257675,14,0,Medium,G,46,0
174964,14,0,Small,K,66,0
255568,14,0,Small,N,81,0
24454,14,0,Large,E,38,0
254504,14,0,Small,G,45,0
248744,14,0,Large,F,43,0
112945,14,1,Large,H,52,0
65557,30,0,Large,C,29,1
247767,14,0,Large,N,77,0
28937,14,0,Large,G,47,0
22363,14,0,Large,C,21,0
254165,14,0,Large,M,73,1
251183,14,0,Small,L,68,0
28267,14,0,Large,G,46,0
27740,14,0,Large,M,70,0
23753,14,1,Large,P,85,0
255416,14,0,Small,R,90,0
26364,14,1,Large,M,72,0
27743,14,0,Small,E,38,0
27276,14,1,Large,O,84,14
258901,14,0,Small,J,62,0
26367,14,0,Large,C,33,10
27745,14,1,Large,O,84,10
25735,14,1,Large,O,84,17
25858,14,1,Large,O,84,10
25992,14,1,Large,O,84,26
26368,14,1,Large,O,84,3
26820,14,1,Large,O,84,0
27061,14,1,Large,O,84,9
27277,14,1,Large,O,84,0
27746,14,1,Large,O,84,0
28270,14,1,Large,O,84,8
28519,14,1,Large,O,84,15
28676,14,1,Large,O,84,7
29232,14,1,Large,O,84,25
244367,14,1,Large,O,84,5
6362,04,0,Large,C,22,1
27747,14,1,Large,R,91,0
245176,14,1,Medium,P,85,0
28939,14,1,Large,O,84,6
27748,14,0,Large,M,69,0
25860,14,0,Large,C,10,15
195916,14,0,Large,G,46,0
103754,02,0,Large,Q,86,0
28520,14,1,Large,M,71,0
28271,14,0,Large,C,10,0
253941,14,0,Small,L,68,0
238956,14,0,Small,L,68,0
258136,14,0,Medium,G,46,0
29234,14,0,Small,E,38,0
26371,14,0,Large,M,73,0
254901,14,1,Large,P,85,0
26372,14,0,Large,K,65,11
27751,14,0,Large,G,47,298
63021,14,0,Large,G,46,0
255770,14,0,Medium,K,66,0
27062,14,1,Large,M,72,0
27752,14,1,Large,O,84,6
256636,14,0,Small,J,59,0
248879,14,0,Medium,F,43,0
81348,14,0,Large,M,70,0
254237,14,0,Small,L,68,0
26373,14,1,Large,F,41,0
187040,14,0,Large,M,73,0
256338,14,0,Small,C,26,0
167827,14,0,Large,G,46,0
259181,14,0,Medium,J,62,1
247979,14,0,Small,H,49,0
212162,30,0,Large,C,17,2
28522,14,1,Large,P,85,0
43684,24,0,Large,C,29,0
169281,14,0,Small,L,68,0
140121,14,0,Medium,G,45,0
29236,14,1,Large,H,49,0
26374,14,1,Large,H,49,0
27278,14,1,Large,H,49,0
29237,14,1,Large,H,49,0
25993,14,1,Large,H,49,0
29238,14,1,Large,H,52,0
29239,14,1,Large,F,42,0
248225,14,0,Medium,I,55,0
29241,14,1,Large,E,38,0
28523,14,1,Large,H,49,0
26823,14,1,Large,E,37,0
27753,14,0,Large,D,35,5
29516,14,1,Large,H,49,100
29243,14,0,Large,K,66,10
210926,14,0,Medium,M,73,0
123044,14,1,Large,K,65,0
258946,14,0,Small,M,70,0
23035,14,0,Large,J,58,0
63393,14,0,Small,E,38,0
248914,14,0,Small,C,26,0
52543,28,0,Large,C,31,0
192583,14,0,Large,H,49,0
185893,14,0,Small,J,62,0
250510,14,0,Small,I,56,0
246337,14,0,Small,I,56,0
158557,14,0,Large,J,61,0
251820,14,0,Small,L,68,0
180674,14,0,Small,K,66,0
167,02,0,Large,C,25,3
80982,14,0,Large,L,68,0
193228,14,0,Small,M,70,0
172802,20,0,Medium,A,01,0
27064,14,0,Large,N,78,0
244594,14,0,Small,K,65,0
251305,14,0,Small,A,02,0
198484,14,0,Small,E,37,0
137963,14,0,Large,H,49,0
253905,14,0,Medium,F,42,0
258477,14,0,Large,G,46,0
244783,14,0,Small,L,68,0
43440,24,0,Large,C,23,0
243572,14,0,Medium,C,32,0
244478,14,0,Small,R,93,0
2780,02,0,Large,C,29,0
159690,14,0,Small,L,68,0
259224,14,0,Small,F,43,0
179483,14,0,Small,L,68,0
65567,14,0,Large,G,46,0
256573,14,0,Large,C,10,0
252692,24,0,Small,G,46,0
250902,14,0,Small,M,70,0
68341,14,0,Large,G,45,6
216636,14,0,Small,L,68,0
24479,14,0,Large,I,56,0
27758,14,0,Large,M,73,0
60232,32,0,Large,C,20,3
139985,14,0,Large,H,49,2
27759,14,1,Large,O,84,15
29247,14,0,Large,K,66,0
254954,14,0,Medium,F,43,0
63285,14,0,Large,N,78,15
23435,14,0,Large,H,52,0
136861,14,0,Small,R,90,0
252575,14,0,Small,J,62,0
26379,14,0,Large,K,66,0
24173,14,0,Large,C,25,0
1435,02,0,Large,C,29,0
181898,14,1,Large,P,85,0
28528,14,0,Large,G,46,0
138984,14,0,Large,H,49,0
139886,14,0,Large,G,47,0
138847,14,0,Large,S,96,0
137345,14,0,Medium,S,96,0
258444,14,0,Medium,G,46,0
186256,14,0,Small,L,68,0
138986,14,0,Small,J,62,0
112779,14,0,Large,J,60,0
258511,14,0,Small,P,85,0
253516,14,0,Small,J,62,0
157842,14,0,Large,N,79,14
23436,14,0,Large,H,52,15
161734,14,0,Small,E,38,0
21176,12,0,Large,J,62,10
243424,14,0,Medium,L,68,0
258133,14,0,Medium,G,45,0
211502,14,0,Small,E,39,0
25997,14,1,Large,P,85,0
158923,14,0,Large,C,20,0
26825,14,0,Large,M,69,0
27763,14,1,Large,I,55,0
28529,14,0,Large,K,65,0
256013,14,1,Medium,P,85,5
29249,14,0,Large,G,47,29
24396,14,0,Large,C,10,0
172551,14,0,Small,P,85,0
257246,14,0,Small,L,68,0
28530,14,0,Small,D,35,0
139987,14,0,Small,S,96,1
196182,12,0,Small,J,63,0
140330,14,0,Large,C,32,1
59846,32,0,Large,C,32,3
207870,14,0,Medium,C,22,0
243838,14,0,Small,C,26,0
157194,14,0,Medium,Q,86,0
240892,14,0,Medium,Q,86,0
2781,02,0,Large,C,29,0
45844,24,0,Large,N,82,14
163321,14,1,Large,P,85,0
222850,14,0,Small,M,74,0
191116,14,0,Small,L,68,0
204915,14,0,Large,M,70,0
23437,14,0,Large,G,45,0
250878,14,0,Medium,G,47,0
243206,14,0,Small,G,46,0
205346,28,0,Medium,I,55,0
243453,14,0,Small,L,68,0
184629,14,0,Small,K,64,0
257081,14,0,Small,M,71,0
254252,22,0,Medium,G,47,0
140215,14,0,Large,C,31,0
256923,14,0,Small,C,18,0
23375,14,0,Large,C,20,0
255343,14,0,Medium,L,68,0
81276,14,0,Large,F,43,3
247328,06,0,Small,G,47,0
244447,14,0,Small,N,82,0
29518,14,0,Large,C,11,0
223439,14,0,Small,H,49,0
249349,14,0,Small,L,68,0
164712,14,0,Large,K,66,0
61800,02,0,Large,J,62,0
113537,14,0,Small,L,68,0
139988,14,0,Small,R,90,0
63434,14,0,Large,M,73,17
23297,14,0,Large,C,18,0
123235,14,0,Small,E,37,0
63052,14,1,Large,E,37,3
245903,14,0,Small,L,68,0
113455,14,0,Small,N,78,0
184000,14,0,Small,J,62,0
24413,14,1,Large,L,68,0
55297,30,0,Large,C,22,34
27072,14,0,Large,J,58,7
112784,14,0,Large,Q,86,0
16197,10,0,Large,C,25,23
27776,14,0,Large,K,66,0
222276,14,0,Medium,M,69,1
244323,14,0,Medium,G,47,0
79173,14,0,Small,L,68,0
138996,14,0,Large,K,65,0
112785,14,0,Large,M,70,0
68342,14,0,Large,P,85,0
111468,14,0,Large,G,46,0
122833,14,0,Small,N,77,0
250620,14,0,Small,I,56,0
246589,14,0,Small,L,68,0
248331,14,0,Medium,Q,86,6
23438,14,0,Large,M,73,0
23346,14,1,Large,D,35,0
258248,14,0,Medium,F,43,0
26387,14,0,Large,K,66,0
158333,24,0,Medium,S,96,0
243349,14,0,Small,H,49,0
253323,14,0,Small,R,91,0
29258,14,0,Large,M,69,10
190550,14,0,Small,P,85,0
42998,24,0,Large,H,51,0
178561,10,0,Medium,J,58,0
19912,12,0,Large,G,45,0
181174,14,0,Large,L,68,0
29259,14,0,Small,L,68,0
6363,04,0,Large,C,17,0
188759,04,0,Large,C,17,0
253124,14,0,Small,G,46,0
209632,14,0,Medium,G,46,0
24654,14,0,Large,C,14,0
61551,32,0,Large,C,10,0
37141,20,0,Large,C,17,0
1511,02,0,Large,C,28,9
171981,14,0,Small,B,08,0
243658,14,0,Small,P,85,0
198366,14,0,Small,M,69,0
29260,14,0,Large,K,64,21
173753,14,0,Small,L,68,0
140333,14,1,Medium,L,68,0
123083,14,0,Large,N,81,0
123106,14,0,Large,M,71,0
200037,14,0,Large,F,41,0
26827,14,1,Large,H,49,0
22634,14,1,Large,H,49,0
58038,30,1,Large,H,49,0
39495,22,1,Large,H,49,0
3293,02,1,Large,H,49,0
21847,12,1,Large,H,49,0
42855,24,1,Large,H,49,0
258823,14,0,Medium,C,16,0
28372,14,1,Large,R,93,0
163473,14,0,Large,G,47,0
139211,14,0,Large,G,47,0
26831,14,0,Large,G,47,0
249685,14,0,Large,G,47,0
252456,14,0,Medium,F,43,0
139212,14,0,Large,G,47,0
248057,14,0,Small,J,63,0
27778,14,1,Large,O,84,29
27779,14,0,Large,I,55,0
243454,14,0,Small,I,55,0
28277,14,0,Large,G,46,0
26834,14,1,Large,H,49,3
185132,14,0,Large,N,80,0
168354,14,0,Large,M,70,0
125301,14,0,Small,R,93,0
113241,14,0,Large,L,68,0
161680,14,1,Small,R,90,0
51322,28,0,Large,C,23,0
126520,24,0,Large,C,25,4
44493,24,0,Large,H,49,0
16198,10,0,Large,N,82,0
254878,14,0,Small,M,73,0
27782,14,0,Large,H,52,0
45845,24,0,Large,N,78,0
251993,14,0,Medium,L,68,0
29263,14,0,Large,Q,86,0
39497,22,0,Large,Q,86,0
52544,28,0,Large,Q,86,0
14182,10,0,Large,Q,86,0
250497,14,0,Large,G,47,0
79884,14,0,Medium,I,55,0
29266,14,1,Large,P,85,1
29267,14,1,Large,P,85,0
29268,14,1,Large,R,91,0
63192,14,0,Large,S,96,0
123050,14,0,Medium,L,68,0
199847,14,1,Large,P,85,0
165435,14,1,Large,P,85,1
207234,14,1,Large,P,85,0
